Type of fleet	Date	FC	Doctrine	Ships|Killed	ISK|Killed (mil)	Ships|Lost	Isk|Lost (mil)	Efficiency (isk %)	Zkill links, brs or other proof of kills.
NPSI Roam	2020-01-01	Grim		4	813	0	0	100.00	https://i.imgur.com/9BEfyMN.png
TEST Roam	2020-01-02	Dharen		36	3400	4	169	95.26	https://fleetcom.space/battlereport/DRssYzWoF8mR9NEan
NPSI Roam	2020-01-04	Rub		39	1900	2	133	93.46	https://fleetcom.space/battlereport/767xYtH26HwKofTmt
Whaling	2020-01-05	Atticus		4	1900	0	0	100.00	https://zkillboard.com/related/30004222/202001060400/
ESO Defense	2020-01-05	Gudlaugur 		11	1306	0	0	100.00	https://fleetcom.space/battlereport/KgA7haS3vCp8WcLZR
TEST Roam	2020-01-06	Dharen		16	888	8	1000	47.03	https://fleetcom.space/battlereport/x5CExiyLiQNiRCHGN
NPSI Roam	2020-01-09	Hab0k		14	7200	0	0	100.00	https://fleetcom.space/battlereport/EEwfh7GGctQeqzmis
ESO Defense	2020-01-09	Gudlaugur 		3	490	0	0	100.00	https://zkillboard.com/related/30003127/202001090000/
NPSI Roam	2020-01-11	Rub		23	6000	0	0	100.00	https://fleetcom.space/battlereport/M94qb5jLXfAqgkPqb
ESO Defense	2020-01-11	Dharen		18	2300	0	0	100.00	https://fleetcom.space/battlereport/3dKEFhi6ghM8xNb7Y
ESO Defense	2020-01-11	Dharen		8	553	2	61	90.07	https://zkillboard.com/related/30003119/202001111900/
ESO Defense	2020-01-11	Dharen		10	1053	2	61	94.52	https://zkillboard.com/related/30003131/202001112100/
ESO Defense	2020-01-11	Dharen		32	1131	1	310	78.49	https://zkillboard.com/related/30003120/202001112100/
ESO Defense	2020-01-11	Dharen		3	535	1	61	89.77	https://zkillboard.com/related/30003170/202001112200/
ESO Defense	2020-01-12	Dharen		2	174	0	0	100.00	https://zkillboard.com/related/30003133/202001120000/
ESO Defense	2020-01-12	Dharen		2	411	0	0	100.00	https://zkillboard.com/related/30003110/202001120300/
ESO Defense	2020-01-12	Dharen		5	198	0	0	100.00	https://zkillboard.com/related/30003144/202001120300/
ESO Defense	2020-01-12	Dharen		1	34	1	61	35.79	https://zkillboard.com/related/30003174/202001120400/
ESO Defense	2020-01-12	Dharen		4	503	1	320	61.12	https://zkillboard.com/related/30003134/202001120600/
ESO Defense	2020-01-12	Dharen		3	1500	0	0	100.00	https://zkillboard.com/related/30003151/202001122100/
ESO Defense	2020-01-12	Dharen		1	85	0	0	100.00	https://zkillboard.com/kill/81005944/
ESO Defense	2020-01-13	Dharen		32	1500	0	0	100.00	https://zkillboard.com/related/30003127/202001131700/
ESO Defense	2020-01-15	ieatpaperbag		53	4000	1	105	97.44	https://zkillboard.com/related/30003175/202001151700/
ESO Defense	2020-01-16	ieatpaperbag		35	3965	1	48	98.80	https://zkillboard.com/related/30003158/202001161600/
TEST Roam	2020-01-18	Dharen		19	1100	2	87	92.67	https://fleetcom.space/battlereport/XpyT6cuPZMb5dH6Ev
ESO Defense	2020-01-19	Dharen		5	1390	5	495	73.74	https://fleetcom.space/battlereport/fAFjnByuASP6MKZ3j
ESO Defense	2020-01-19	Dharen		7	2441	4	1351	64.37	https://zkillboard.com/related/30003123/202001191700/
ESO Defense	2020-01-19	Dharen		5	1431	0	0	100.00	https://zkillboard.com/related/30003125/202001192200/
ESO Defense	2020-01-22	ieatpaperbag		39	1500	1	100	93.75	https://zkillboard.com/related/30003136/202001220000/
ESO Defense	2020-01-22	ieatpaperbag		4	850	0	0	100.00	https://zkillboard.com/related/31000005/202001221600/o/%7B%22A%22%3A%5B%5D%2C%22B%22%3A%5B%2298415266%22%2C%2299005839%22%2C%2299006319%22%2C%2299009268%22%2C%2299007753%22%5D%7D/
ESO Defense	2020-01-23	Dharen/Paper		49	3102	5	263	92.18	https://zkillboard.com/related/30003175/202001230000/
ESO Defense	2020-01-23	ieatpaperbag		5	200	0	0	100.00	https://zkillboard.com/related/30003137/202001230400/
ESO Defense	2020-01-24	Dharen		53	3800	11	825	82.16	https://fleetcom.space/battlereport/rDNb9owjgW4BC5d2i
NPSI Roam	2020-01-25	Rub		12	3700	2	376	90.78	https://fleetcom.space/battlereport/88EFCw2MG9Ds6NeJD
TEST Roam	2020-01-26	Dharen		30	3000	13	720	80.65	https://fleetcom.space/battlereport/vdm7qN44DggxAQTs7
ESO Defense	2020-01-27	ieatpaperbag		33	1400	0	0	100.00	https://fleetcom.space/battlereport/NtStSwFiPbiXBS7a5
ESO Defense	2020-01-29	ieatpaperbag		14	425	0	0	100.00	https://zkillboard.com/related/30003133/202001292200/
